date,open,oil
2013-11-28,667.37,93.5
2013-11-29,668.95,93.5
2013-12-02,665.44,92.709999
2013-12-03,657.32,93.860001
2013-12-04,654.48,96.900002
2013-12-05,654.41,97.330002
2013-12-06,654.59,97.379997
2013-12-09,650.65,97.660004
2013-12-10,653.42,97.25
2013-12-11,646.18,98.650002
2013-12-12,643.03,97.550003
2013-12-13,643.11,97.580002
2013-12-16,645.23,96.550003
2013-12-17,645.63,97.300003
2013-12-18,648.92,97.300003
2013-12-19,653.35,97.690002
2013-12-20,645.44,98.699997
2013-12-23,650.8,99.199997
2013-12-24,647.67,99.199997
2013-12-25,647.22,99.199997
2013-12-26,649.45,99.199997
2013-12-27,662.25,99.629997
2013-12-30,664.74,100.150002
2013-12-31,666.62,99.25
2014-01-02,681.25,98.5
2014-01-03,684.2,95.470001
2014-01-06,680.64,94.18
2014-01-07,685.5,93.599998
2014-01-08,687.28,93.959999
2014-01-09,687.01,92.580002
2014-01-10,689.39,92.300003
2014-01-13,686.63,92.830002
2014-01-14,686.06,91.510002
2014-01-15,690.7,92.650002
2014-01-16,698.56,94.290001
2014-01-17,700.75,94.169998
2014-01-20,698.43,94.169998
2014-01-21,695.72,94.0
2014-01-22,698.9,95.199997
2014-01-23,689.24,96.690002
2014-01-24,668.59,97.370003
2014-01-27,653.07,96.900002
2014-01-28,666.07,95.660004
2014-01-29,666.29,97.169998
2014-01-30,666.69,97.419998
2014-01-31,670.04,97.970001
2014-02-03,654.22,97.400002
2014-02-04,646.26,96.529999
2014-02-05,643.42,97.669998
2014-02-06,656.19,97.25
2014-02-07,674.4,97.970001
2014-02-10,679.52,100.050003
2014-02-11,678.86,99.970001
2014-02-12,684.8,100.459999
2014-02-13,688.78,100.269997
2014-02-14,687.15,100.339996
2014-02-17,691.55,100.339996
2014-02-18,696.99,100.32
2014-02-19,692.41,103.139999
2014-02-20,690.02,103.410004
2014-02-21,696.62,102.870003
2014-02-24,707.35,102.290001
2014-02-25,706.99,102.800003
2014-02-26,708.25,102.040001
2014-02-27,719.43,102.57
2014-02-28,722.27,102.150002
2014-03-03,718.28,103.0
2014-03-04,735.08,104.889999
2014-03-05,733.89,103.349998
2014-03-06,745.71,101.040001
